geoid,HeathDeath_Percent,leadPoisonR,ndvi,treesN10,treeCrwDn,socvlnIndx,hrdshpIndx,urbanFlood,surfcTemp,trafficVol,nnetPM25,chAsthmaED,chAsthma17,pop18,whiteP18,blackP18,amIndP18,asianP18,hispP18,other18,chldren18,senior18,zipCode,comArea,comAreaNm,plantDivrs,plantTotl,plantSpec,redLined,mdRent18,mdHome18,frgnBrn18,hhldSize18,fmHhld18,college18,popDens18,ovrcwdHs18,costBurd18,hsngSuscp,hsngVuln,hsngChng,dsplcPresr,chwAirTemp,chwHeatAve,chwHeatMax,eclipsPM25,lungCRt17,physRt17,adAsthma17,cancerRt17,hyptRt17
17031243400,4.5,0.694073679,0.18454,728,7.6,32.9,14.6,9.2,73.6,6,10.6,130.5,128.7,,70.2,6.8,,5.6,34.2,17.4,15.42669584,8.205689278,60642,24,WEST TOWN,,,,D,1252,367200,18.63603209,1.89,39.36581593,65.0395165,21575.64371,0.618716,29.31168,High-cost,0,Not_Rising,0,84.39418136,88.80404828,99.95115334,10.09473658,52.1764477,13.1,9,502.2827855,23.1
17031720500,0,0.421940928,0.544624,4164,33.5,1.4,5.9,9.7,75.2,5,10,176.25,146.1,,96.2,2,,1.4,7.5,0.5,28.74821514,12.99381247,"60655,60643",72,BEVERLY,0.75,4,4,,1141,273200,4.09328891,2.82,67.64705882,61.07744108,5221.398288,0,13.17136,Moderate-cost,0,Not_Rising,0,84.21079449,90.63407207,100.6222855,10.23717769,55.98940142,16.5,6.6,527.7999439,19.1
17031243500,4.5,0.694073679,0.191823,1498,7.6,12.6,11.1,9.3,72,6.5,10.7,130.5,128.7,,64.8,22.8,,7.9,5.9,4.5,13.25334821,3.431919643,"60642,60654",24,WEST TOWN,0.8,5,5,,1978,425200,10.10044643,1.95,37.76536313,73.71134021,14123.94371,0.782123,29.16201,High-cost,0,Rising,0,84.43196288,88.89211062,99.46319674,10.16408968,52.1764477,13.1,9,502.2827855,23.1
17031750300,0,1.454545455,0.414136,2989,34.4,16.3,3.6,9.9,66.7,5.4,10.2,176.25,146.1,,85.3,11.4,,0.8,5.2,2.6,28.42822775,14.91579791,"60655,60643",75,MORGAN PARK,0.667,3,3,C,1074,282700,4.290296712,2.76,73.17596567,56.23205055,9760.949252,0,24.46352,Moderate-cost,0,Not_Rising,0,84.6072688,91.02916723,100.9326237,10.15446162,86.44667085,20.9,5.5,549.7572772,37.5
17031720600,0,0.421940928,0.467403,3014,42.4,19.4,15.8,10,66.3,5.4,10.1,176.25,146.1,,67.2,30.6,,0.3,3.7,1.9,24.84294689,18.16105083,60643,72,BEVERLY,0.833,6,6,B,1254,370600,2.855511136,2.86,75.45008183,61.09839817,7787.24336,4.091653,21.76759,Moderate-cost,0,Not_Rising,0,84.70662616,92.14181,101.3640113,10.2661624,55.98940142,16.5,6.6,527.7999439,19.1
17031720300,0,0.421940928,0.435475,5737,38.9,5.9,8.7,9.9,70.3,5.8,10,176.25,146.1,,59.2,35,,1.7,8.3,4.1,24.09756098,15.17073171,60643,72,BEVERLY,0.966,31,30,B,,350100,6.024390244,3.01,81.16691285,60.06546645,8396.073383,0,22.45199,Moderate-cost,0,Not_Rising,0,84.6923158,91.59583652,101.1842044,10.52025493,55.98940142,16.5,6.6,527.7999439,19.1
17031720400,0,0.421940928,0.425403,2477,28.8,6.6,6.8,9.9,76.4,5.5,10.1,176.25,146.1,,90.8,5,,0.2,4.4,4,27.6107998,9.577177789,"60655,60643",72,BEVERLY,0.833,6,6,,1183,245400,2.139582272,2.87,73.7704918,45,7665.118366,0,15.79732,Moderate-cost,0,Not_Rising,0,84.38512467,91.07278314,100.8609015,10.34693909,55.98940142,16.5,6.6,527.7999439,19.1
17031740100,0,0,0.362497,2869,22.2,13.6,15.7,9.9,76,5.3,10.3,25,35.1,,96.7,1,,0,11.4,2.3,24.95285984,11.40791955,60655,74,MOUNT GREENWOOD,0,1,1,D,1208,221600,2.168447517,2.92,73.89418907,26.72558923,9246.124533,0.867303,22.11622,Moderate-cost,0,Not_Rising,0,84.67910275,91.08227267,101.3230649,10.1364797,96.74729686,23.6,NA,584.088749,14.7
17031823304,0,1.454545455,0.488829,1125,2.7,79.8,19,8.5,66.6,4.7,10.5,25,35.1,,65.5,22.5,,1.4,25.6,10.6,25.61094819,16.58520691,"60655,60803",75,MORGAN PARK,0.75,4,4,,927,147000,9.644835451,2.9,60.55276382,19.52774498,4468.699603,3.517588,39.40536,,,,,83.98028783,90.30474584,100.5155549,9.841369629,86.44667085,20.9,5.5,549.7572772,37.5
17031831300,1.84,3.458213257,0.24812,1109,9.5,79.3,23.9,9.3,93.1,5.6,10.6,346.75,123.9,,14.9,51.2,,1.6,44.3,31.6,18.72015282,16.42788921,"60651,60639",25,AUSTIN,0.5,2,2,,1006,111100,5.253104107,3.07,69.04109589,11.17717004,4706.351159,6.30137,45.47945,Moderate-cost,1,Not_Rising,"Vulnerable, Prices Not Rising",84.52212486,88.92575158,99.31885825,10.42453671,93.01261318,34.9,12.6,581.7791986,39.2
17031740200,0.41,0,0.373492,5571,20.2,25.1,10.2,9.6,84.6,5.7,10.6,25,35.1,,95.5,1.4,,2.4,9.5,0.7,22.17384777,13.25626783,60655,74,MOUNT GREENWOOD,0.875,8,8,D,1205,258000,6.320372316,3.17,76.71018277,35.71717172,8789.078197,1.409922,21.14883,Moderate-cost,0,Not_Rising,0,84.52575492,90.62816936,100.6012522,10.07854242,96.74729686,23.6,NA,584.088749,14.7
17031740300,0.41,0,0.371441,4005,21.1,12.3,12.4,10,76.4,5.1,10.5,25,35.1,,92.4,2.2,,0.8,8.8,4.6,26.50090964,13.38184758,60655,74,MOUNT GREENWOOD,0.945,20,19,D,1187,245300,3.315140489,2.74,73.10459325,40.68546158,9701.225786,4.095185,15.27393,Moderate-cost,0,Not_Rising,0,84.50534995,90.78805339,100.706904,9.944005203,96.74729686,23.6,NA,584.088749,14.7
17031250800,2.66,3.458213257,0.302965,1756,20.3,86.4,29.2,9.5,90.9,5.1,10.6,346.75,123.9,,3.5,81.8,,0.5,17.1,14.2,28.43016069,14.62711166,"60651,60639",25,AUSTIN,0.5,2,2,C,933,165900,9.888751545,3.16,74.6835443,9.505941213,10937.50725,3.544304,56.58228,Moderate-cost,1,Not_Rising,"Vulnerable, Prices Not Rising",84.41893854,89.11351356,100.0224956,10.69976997,93.01261318,34.9,12.6,581.7791986,39.2
17031740400,0.41,0,0.480929,7113,16.1,15.5,8.3,9,66.7,5.9,10.6,25,35.1,,84.6,9.5,,3.7,9,2.2,21.28734622,11.42355009,60655,74,MOUNT GREENWOOD,0.954,61,35,,1109,246200,3.405096661,2.76,61.14072495,39.7711415,4153.030161,1.439232,28.19829,Moderate-cost,0,Not_Rising,0,83.65357395,89.09436287,99.35357944,9.723940849,96.74729686,23.6,NA,584.088749,14.7
17031750400,0.82,1.454545455,0.419263,3559,27.7,8,12.7,9.9,58.1,5.3,10.4,176.25,146.1,,65.3,33.4,,0,5.9,1.3,21.89973615,12.99472296,"60655,60643,60406",75,MORGAN PARK,0.5,2,2,D,865,233500,1.055408971,2.71,66.4978903,46.48972603,7887.879754,0,21.77215,Moderate-cost,0,Rising,0,84.43202706,91.02720895,101.1874706,10.11201763,86.44667085,20.9,5.5,549.7572772,37.5
17031540102,2.04,0.78125,0.371708,11994,12.4,86.2,49.1,8.8,38.9,5.6,10.9,305,160,,3.3,96.3,,0,0.3,0.3,39.5696913,7.171811662,"60628,60827",54,RIVERDALE,0.947,20,19,,452,81500,0.4053632679,2.32,69.44444444,4.623376623,1568.059597,5.555556,40.77061,Lower-cost,0,Not_Rising,0,83.81165186,90.02086808,99.97990901,9.766084948,126.5092926,34.4,NA,713.8624243,NA
17031251100,2.66,3.458213257,0.306682,1603,23.9,99.7,36.4,9.6,82.2,4,10.5,382.5,202.6,,7,83.9,,0,14.6,9.1,28.41938406,17.39130435,60651,25,AUSTIN,0.8,5,5,C,879,124300,1.698369565,3.92,54.80833894,6.018667525,23038.13204,5.447209,61.60054,Moderate-cost,1,Rising,"Vulnerable, Prices Rising",84.76540023,89.60538547,100.1097033,10.8708086,93.01261318,34.9,12.6,581.7791986,39.2
17031550200,1.02,0.495049505,0.392196,14776,15.9,27.9,15.6,8.6,30.7,6.2,10.3,203,164.7,,88.7,4,,1,55.5,6.3,23.80777696,17.64490095,60633,55,HEGEWISCH,0.99,323,167,,1076,138700,11.92223037,2.86,58.48341232,17.96913888,1386.021967,0.473934,29.09953,Moderate-cost,0,Not_Rising,0,84.13080402,90.2337106,100.3671619,9.642477744,96.87987627,33.1,NA,532.4363569,33.5
17031530600,1.02,2.697841727,0.386714,3614,24.9,84.4,21.1,9.9,48.8,5.2,10.5,305,160,,0.4,97.2,,0,0.2,2.4,25.14134942,11.53411233,60628,53,WEST PULLMAN,,,,D,899,114400,0,2.59,67.57894737,10.12084592,7111.299611,3.052632,46.21053,Lower-cost,1,Not_Rising,"Vulnerable, Prices Not Rising",84.37071998,90.98049738,99.97343561,9.697072983,106.5015993,42.9,9.8,602.1758519,28
17031540101,0.2,0.78125,0.460018,18293,34.1,94.4,46.8,9.3,39.2,5.6,10.5,203,164.7,,4.5,95,,0.5,4.4,0,40.5918619,2.90998767,60827,54,RIVERDALE,0.992,341,191,,365,53800,2.145499383,1.95,66.75900277,1.35078092,3128.226196,8.448753,34.00277,Lower-cost,1,Rising,"Vulnerable, Prices Rising",83.73930337,90.36810727,100.0831658,10.02486247,126.5092926,34.4,NA,713.8624243,NA
17031250200,1.84,3.458213257,0.274484,1440,17.8,81.9,20.7,9.5,93.6,5.6,10.6,346.75,123.9,,19.6,52.5,,0.9,44.4,27,25.67765568,9.413919414,60639,25,AUSTIN,0,1,1,C,1030,189100,15.34798535,3.65,74.81296758,12.75651692,14163.89432,4.488778,52.36908,Moderate-cost,1,Rising,"Vulnerable, Prices Rising",84.50722504,89.00262939,99.91901752,10.63525391,93.01261318,34.9,12.6,581.7791986,39.2
17031230600,1.43,2.532327586,0.218351,1835,10.7,92.9,45,9.2,91.4,5.1,10.6,346.75,123.9,,21.7,22.4,,0,72.4,55.2,29.61796522,3.09461865,"60651,60639",23,HUMBOLDT PARK,0.911,13,12,C,982,164000,22.8536218,3.73,79.68831169,10.64862104,18711.00893,13.4026,44.31169,Moderate-cost,1,Rising,"Vulnerable, Prices Rising",84.50977388,89.07866002,99.6388046,10.02710168,49.74493888,39.8,17.1,467.9023783,23.2
